Bernardino Cordero Bernard,PublicSchool,Ponce,4.00,4,0,,
Sup Manuel Ramos Hernandez,PublicSchool,Quebradillas,4.00,4,0,,
Manuel Garcia Perez (Nueva),PublicSchool,Rincón,4.00,3,1,,
Su David Antongiorgi Cordova,PublicSchool,Sabana Grande,4.00,4,0,,
Colegio San Ignacio De Loyola,PrivateSchool,San Juan,4.00,4,0,,
Miguel Such,PublicSchool,San Juan,4.00,4,0,,
Academia San Jorge,PrivateSchool,San Juan,4.00,3,1,,
Rafael Hernandez Marin,PublicSchool,San Juan,4.00,3,1,,
Venus Gardens,PublicSchool,San Juan,4.00,3,1,,
Saint Monica Bilingual School,PrivateSchool,San Juan,4.00,2,2,,
Head Start/Early Head Start Pablo Pablito,Headstart,Toa Baja,4.00,1,3,,
Jose F Diaz,PublicSchool,Trujillo Alto,4.00,4,0,,
Fair View,PublicSchool,Trujillo Alto,4.00,3,1,,
Isabel Alvarado Alvarado,PublicSchool,Villalba,4.00,4,0,,
"Froebel Bilingual School, Inc.",PrivateSchool,Aguadilla,3.00,3,0,,
Ester Feliciano Mendoza,PublicSchool,Aguadilla,3.00,3,0,,
Ramey Job Corps Center,PrivateSchool,Aguadilla,3.00,2,1,,
Superior Urbana,PublicSchool,Aguas Buenas,3.00,2,1,,
Factor 5,PublicSchool,Arecibo,3.00,3,0,,
Su Federico Degetau,PublicSchool,Arecibo,3.00,2,1,,
Francisco Pachin Marin,PublicSchool,Arecibo,3.00,1,2,,
Imbery,PublicSchool,Barceloneta,3.00,3,0,,
Juan Ramon Jimenez,PublicSchool,Bayamón,3.00,3,0,,
Miguel Melendez Muñoz,PublicSchool,Bayamón,3.00,3,0,,
Josefita Monserrate De Selles,PublicSchool,Bayamón,3.00,3,0,,
Pedro P Casablanca,PublicSchool,Bayamón,3.00,2,1,,
Nicolas Aguayo Aldea,PublicSchool,Caguas,3.00,3,0,,
Benita Gonzalez Quiñones,PublicSchool,Caguas,3.00,3,0,,
Jose Mercado,PublicSchool,Caguas,3.00,3,0,,
Justina Vazquez Mendoza,PublicSchool,Caguas,3.00,3,0,,
Ccda Esquilin Mangual,Childcare,Caguas,3.00,3,0,,
Jose Calzada Ferrer,PublicSchool,Canóvanas,3.00,3,0,,
Georgina Baquero,PublicSchool,Canóvanas,3.00,3,0,,
Colegio Nuestra Señora Del Pilar,PrivateSchool,Canóvanas,3.00,2,1,,
Dr Pedro Albizu Campos,PublicSchool,Canóvanas,3.00,2,1,,
Centro De Instruccion Y Educacion Moderna,PrivateSchool,Carolina,3.00,3,0,,
Colegio Bautista De Carolina,PrivateSchool,Carolina,3.00,3,0,,
Colegio De Diego De Carolina,PrivateSchool,Carolina,3.00,3,0,,
Francisco Matias Lugo,PublicSchool,Carolina,3.00,3,0,,
Colegio Nuestra Señora De La Piedad,PrivateSchool,Carolina,3.00,1,2,,
Isaac Del Rosario,PublicSchool,Cataño,3.00,2,1,,
Especializada De Bellas Artes,PublicSchool,Cayey,3.00,3,0,,
Dr Ramon Emeterio Betances,PublicSchool,Cayey,3.00,3,0,,
Benjamin Harrison,PublicSchool,Cayey,3.00,2,1,,
Colegio Héctor Urdaneta,PrivateSchool,Ceiba,3.00,2,1,,
Ruth Evelyn Cruz Santos,PublicSchool,Cidra,3.00,2,1,,
Jose Felipe Zayas,PublicSchool,Coamo,3.00,2,1,,
Su Ramon Alejandro Ayala,PublicSchool,Comerío,3.00,2,1,,
Su Oscar Porrata Doria,PublicSchool,Comerío,3.00,2,1,,
Genaro Bou,PublicSchool,Corozal,3.00,3,0,,
Manuel Bou Gali,PublicSchool,Corozal,3.00,2,1,,
DORADO NEW TESTAMENT CHRISTIAN ACADEMY,PrivateSchool,Dorado,3.00,3,0,,
Ana Delia Flores Santana Voc,PublicSchool,Fajardo,3.00,3,0,,
Dr Rafael Lopez Landron,PublicSchool,Guayama,3.00,3,0,,
American Military Academy,PrivateSchool,Guaynabo,3.00,3,0,,
"Centro De Desarrollo Infantil Aeiou, Inc.",PrivateSchool,Guaynabo,3.00,2,1,,
Colegio Adianez,PrivateSchool,Guaynabo,3.00,2,1,,
Josefina Barcelo,PublicSchool,Guaynabo,3.00,2,1,,
Margarita Rivera De Janer,PublicSchool,Gurabo,3.00,1,2,,
Timoteo Delgado,PublicSchool,Hatillo,3.00,3,0,,
Anibal Reyes Belen,PublicSchool,Hatillo,3.00,3,0,,
Ramon E Rodriguez Diaz,PublicSchool,Hormigueros,3.00,3,0,,
Ana Roque De Duprey,PublicSchool,Humacao,3.00,3,0,,
Carlos Rivera Ufret,PublicSchool,Humacao,3.00,3,0,,
Antonio Rosa Guzman (Nueva),PublicSchool,Humacao,3.00,3,0,,
Mateo Hernandez,PublicSchool,Isabela,3.00,3,0,,
Su Jose A Vargas,PublicSchool,Isabela,3.00,3,0,,
Alfonso Diaz Lebron,PublicSchool,Juncos,3.00,3,0,,
Florencia Garcia,PublicSchool,Las Piedras,3.00,3,0,,
Rafael N Coca,PublicSchool,Luquillo,3.00,3,0,,
Camilo Valles Matienzo,PublicSchool,Luquillo,3.00,3,0,,
Antonio Velez Alvarado,PublicSchool,Manatí,3.00,3,0,,
THEOPOLIS CHRISTIAN ACADEMY,PrivateSchool,Mayagüez,3.00,3,0,,
Academia De La Inmaculada Concepción,PrivateSchool,Mayagüez,3.00,3,0,,
Bella Vista Adventist Academy,PrivateSchool,Mayagüez,3.00,3,0,,
Manuel A Barreto,PublicSchool,Mayagüez,3.00,3,0,,
Escuela Libre De Musica Y Bella Artes Ernesto Ramos Antonini,PublicSchool,Mayagüez,3.00,3,0,,
Elpidio H Rivera,PublicSchool,Mayagüez,3.00,2,1,,
Head Start / Early Head Start Daguao,Headstart,Naguabo,3.00,1,2,,
Colegio Del Sagrado Corazón De Jesús,PrivateSchool,Ponce,3.00,3,0,,
Colegio Sagrada Familia De Nazaret En Ponce,PrivateSchool,Ponce,3.00,3,0,,
Dr Pedro Albizu Campos,PublicSchool,Quebradillas,3.00,3,0,,
Ccda Soles Del Jardin,Childcare,Quebradillas,3.00,2,1,,
Henry W Longfellow,PublicSchool,San Germán,3.00,2,1,,
St.Mary's School,PrivateSchool,San Juan,3.00,3,0,,
Academia Bautista De Puerto Nuevo,PrivateSchool,San Juan,3.00,3,0,,
Academia Del Perpetuo Socorro,PrivateSchool,San Juan,3.00,3,0,,
Bonneville School,PrivateSchool,San Juan,3.00,3,0,,
Colegio Mater Salvatoris,PrivateSchool,San Juan,3.00,3,0,,
Colegio Sagrado Corazon De Jesus,PrivateSchool,San Juan,3.00,3,0,,
Escuela Josefita Monserrate De Selles,PrivateSchool,San Juan,3.00,3,0,,
Se Crece,PrivateSchool,San Juan,3.00,3,0,,
Dr Jose Celso Barbosa,PublicSchool,San Juan,3.00,3,0,,
Amalia Marín Castilla,PublicSchool,San Juan,3.00,3,0,,
Amalia Marin,PublicSchool,San Juan,3.00,3,0,,
San Agustin,PublicSchool,San Juan,3.00,3,0,,
Villa Granada,PublicSchool,San Juan,3.00,3,0,,
Antonio Sarriera Egozcue,PublicSchool,San Juan,3.00,2,1,,
Pachin Marin,PublicSchool,San Juan,3.00,1,2,,
Int Bo Quebrada Arenas,PublicSchool,Toa Alta,3.00,3,0,,
Colegio Bautista De Levittown,PrivateSchool,Toa Baja,3.00,3,0,,
