3/18/2020,6
3/19/2020,4
3/20/2020,15
3/21/2020,9
3/22/2020,9
3/23/2020,33
3/24/2020,45
3/25/2020,41
3/26/2020,62
3/27/2020,44
3/28/2020,25
3/29/2020,13
3/30/2020,91
3/31/2020,57
4/1/2020,73
4/2/2020,48
4/3/2020,43
4/4/2020,15
4/5/2020,3
4/6/2020,45
4/7/2020,32
4/8/2020,27
4/9/2020,36
4/10/2020,3
4/11/2020,13
4/12/2020,4
4/13/2020,26
4/14/2020,21
4/15/2020,29
4/16/2020,29
4/17/2020,24
4/18/2020,11
4/19/2020,2
4/20/2020,19
4/21/2020,20
4/22/2020,32
4/23/2020,21
4/24/2020,18
4/25/2020,3
4/26/2020,2
4/27/2020,14
4/28/2020,21
4/29/2020,19
4/30/2020,19
5/1/2020,15
5/2/2020,8
5/3/2020,4
5/4/2020,12
5/5/2020,27
5/6/2020,24
5/7/2020,16
5/8/2020,26
5/9/2020,6
5/10/2020,0
5/11/2020,16
5/12/2020,21
5/13/2020,9
5/14/2020,14
5/15/2020,11
5/16/2020,4
5/17/2020,1
5/18/2020,12
5/19/2020,12
5/20/2020,14
5/21/2020,6
5/22/2020,11
5/23/2020,3
5/24/2020,4
5/25/2020,5
5/26/2020,6
5/27/2020,14
5/28/2020,20
5/29/2020,26
5/30/2020,5
5/31/2020,1
6/1/2020,25
6/2/2020,22
6/3/2020,14
6/4/2020,12
6/5/2020,8
6/6/2020,12
6/7/2020,3
6/8/2020,10
6/9/2020,13
6/10/2020,13
6/11/2020,15
6/12/2020,20
6/13/2020,12
6/14/2020,8
6/15/2020,20
6/16/2020,20
6/17/2020,14
6/18/2020,22
6/19/2020,18
6/20/2020,4
6/21/2020,4
6/22/2020,31
6/23/2020,38
6/24/2020,31
6/25/2020,54
6/26/2020,50
6/27/2020,16
6/28/2020,5
6/29/2020,75
6/30/2020,89
7/1/2020,75
7/2/2020,114
7/3/2020,121
7/4/2020,11
7/5/2020,16
7/6/2020,196
7/7/2020,243
7/8/2020,207
7/9/2020,238
7/10/2020,319
7/11/2020,140
7/12/2020,75
7/13/2020,439
7/14/2020,365
7/15/2020,436
7/16/2020,336
7/17/2020,282
7/18/2020,94
7/19/2020,67
7/20/2020,331
7/21/2020,301
7/22/2020,312
7/23/2020,332
7/24/2020,291
7/25/2020,71
7/26/2020,62
7/27/2020,323
7/28/2020,327
7/29/2020,265
7/30/2020,106
7/31/2020,370
8/1/2020,128
8/2/2020,58
8/3/2020,460
8/4/2020,526
8/5/2020,446
8/6/2020,417
8/7/2020,484
8/8/2020,162
8/9/2020,43
8/10/2020,440
8/11/2020,455
8/12/2020,449
8/13/2020,391
8/14/2020,436
8/15/2020,188
8/16/2020,33
8/17/2020,432
8/18/2020,345
8/19/2020,440
8/20/2020,358
8/21/2020,340
8/22/2020,30
8/23/2020,47
8/24/2020,389
8/25/2020,346
8/26/2020,283
8/27/2020,297
8/28/2020,295
8/29/2020,150
8/30/2020,30
8/31/2020,398
9/1/2020,318
9/2/2020,338
9/3/2020,326
9/4/2020,261
9/5/2020,99
9/6/2020,40
9/7/2020,112
9/8/2020,379
9/9/2020,458
9/10/2020,629
9/11/2020,559
9/12/2020,137
9/13/2020,44
9/14/2020,458
9/15/2020,434
9/16/2020,691
9/17/2020,544
9/18/2020,422
9/19/2020,131
9/20/2020,41
9/21/2020,369
9/22/2020,390
9/23/2020,342
9/24/2020,352
9/25/2020,321
9/26/2020,133
